Name|Index|Order|p2_Variant|Set_(Layered)_Id|P3_Type|P4_Equip_slot|Defense|Model_Id_1|Model_Id_2|Icon_Color|Icon_Effect|Rarity|Cost|Fire_Res|Water_Res|Ice_Res|Thunder_Res|Dragon_Res|Slot_Count|Slot_1_Size|Slot_2_Size|Slot_3_Size|Set_Skill_1|Set_Skill_1_Level|Hidden_Skill|Hidden_Skill_Level|Skill_1|Skill_1_Level|Skill_2|Skill_2_Level|Skill_3|Skill_3_Level|Gender|P1_Set_Group|Is_Permanent|Description
Empress Mail γ|864|173|Alpha|243|Regular|Chest|70|51|20|0|0|7|20000|3|1|-3|1|-2|1|3|0|0|163: Lunastra Favor|1|0: --------|0|11: Earplugs|2|120: Tool Specialist|1|0: --------|0|Unisex|242|False|Uniquely crafted Lunastra armor. The immeasurable strength of a tempered monster dwells within.
Geralt's Body α|865|184|Alpha|244|Full_Set|Chest|70|118|0|0|0|7|60000|2|1|-1|-2|3|2|1|1|0|167: Witcher's Knowledge|1|0: --------|0|21: Health Boost|3|19: Attack Boost|2|0: --------|0|Unisex|293|False|The legendary Witcher. A master swordsman with a keen eye and a profound knowledge of monsters. <STYL MOJI_YELLOW_DEFAULT>(Full Armor Set)</STYL>
Ciri's Body α|866|185|Beta_or_Gamma|245|Full_Set|Chest|70|119|0|0|0|7|60000|-2|-1|1|2|3|1|3|0|0|0: --------|0|0: --------|0|78: Evade Window|2|97: Divine Blessing|2|0: --------|0|Unisex|294|False|An ashen-haired young woman who wields devastating magical powers. She is descended from an ancient race of elves. <STYL MOJI_YELLOW_DEFAULT>(Full Armor Set)</STYL>
Geralt Layered Chest|867|1038|Alpha|246|Full_Set_Layered|Chest|0|118|0|0|0|7|5000|0|0|0|0|0|0|0|0|0|0: --------|0|0: --------|0|0: --------|0|0: --------|0|0: --------|0|Unisex|295|False|Unavailable
Ciri Layered Chest|868|1039|Beta_or_Gamma|247|Full_Set_Layered|Chest|0|119|0|0|0|7|5000|0|0|0|0|0|0|0|0|0|0: --------|0|0: --------|0|0: --------|0|0: --------|0|0: --------|0|Unisex|296|False|Unavailable
Kulve Taroth's Ire γ|869|174|Alpha|248|Regular|Chest|72|49|20|0|0|7|20000|4|-2|-4|3|-2|1|1|0|0|0: --------|0|0: --------|0|54: Handicraft|2|62: Agitator|1|0: --------|0|Unisex|247|False|Uniquely crafted Kulve Taroth armor. The immeasurable strength of the monster dwells within.
Defender Mail α|870|298|Alpha|249|Regular|Chest|50|121|0|0|0|5|100|2|0|2|0|3|0|0|0|0|0: --------|0|0: --------|0|73: Marathon Runner|1|22: Recovery Up|1|0: --------|0|Unisex|248|False|Armor designed for use by the Defense Corps. Very elaborate in its design.
Direwolf Layered Mail+|871|1502|Alpha|250|Layered|Chest|0|105|0|0|0|8|0|0|0|0|0|0|0|0|0|0|0: --------|0|0: --------|0|0: --------|0|0: --------|0|0: --------|0|Unisex|300|False|Unavailable
Guardian Layered Chest|872|0|Alpha|545|Layered|Chest|0|121|0|0|0|5|5000|0|0|0|0|0|0|0|0|0|0: --------|0|0: --------|0|0: --------|0|0: --------|0|0: --------|0|Unisex|301|False|Unavailable
Bone Mail α+|873|302|Alpha|252|Regular|Chest|114|3|0|0|0|8|9000|2|0|0|2|2|1|2|0|0|0: --------|0|0: --------|0|19: Attack Boost|2|21: Health Boost|1|0: --------|0|Unisex|302|False|Traditional armor crafted from monster bones. Believe it or not, it offers pretty good insulation.
Bone Mail β+|874|303|Beta_or_Gamma|253|Regular|Chest|114|3|0|0|0|8|9000|2|0|0|2|2|2|4|1|0|0: --------|0|0: --------|0|19: Attack Boost|1|0: --------|0|0: --------|0|Unisex|303|False|Traditional armor crafted from monster bones. Believe it or not, it offers pretty good insulation.
Alloy Mail α+|875|304|Alpha|254|Regular|Chest|114|4|0|0|0|8|9000|-2|0|-2|-2|0|1|3|0|0|0: --------|0|0: --------|0|25: Water Resistance|2|20: Defense Boost|1|0: --------|0|Unisex|304|False|Armor made of fine machalite ore. What it lacks in charm it more than makes up in defense.
Alloy Mail β+|876|305|Beta_or_Gamma|255|Regular|Chest|114|4|0|0|0|8|9000|-2|0|-2|-2|0|2|4|1|0|0: --------|0|0: --------|0|25: Water Resistance|1|0: --------|0|0: --------|0|Unisex|305|False|Armor made of fine machalite ore. What it lacks in charm it more than makes up in defense.
Vespoid Mail α+|877|306|Alpha|256|Regular|Chest|116|7|1|0|0|8|9000|-2|1|1|1|2|2|2|1|0|0: --------|0|0: --------|0|12: Windproof|2|0: --------|0|0: --------|0|Unisex|306|False|Vespoid chest armor expertly crafted to increase the wearer's Dragon Resistance.
Vespoid Mail β+|878|307|Beta_or_Gamma|257|Regular|Chest|116|7|1|0|0|8|9000|-2|1|1|1|2|2|4|1|0|0: --------|0|0: --------|0|12: Windproof|1|0: --------|0|0: --------|0|Unisex|307|False|Vespoid chest armor expertly crafted to increase the wearer's Dragon Resistance.
Hornetaur Mail α+|879|308|Alpha|258|Regular|Chest|116|17|1|0|0|8|9000|-1|-1|0|0|2|2|2|1|0|0: --------|0|0: --------|0|16: Effluvial Expert|1|77: Hunger Resistance|2|0: --------|0|Unisex|308|False|Armor made of Hornetaur parts. Its crafting takes more than one hundred steps.
Hornetaur Mail β+|880|309|Beta_or_Gamma|259|Regular|Chest|116|17|1|0|0|8|9000|-1|-1|0|0|2|3|4|2|1|0: --------|0|0: --------|0|16: Effluvial Expert|1|0: --------|0|0: --------|0|Unisex|309|False|Armor made of Hornetaur parts. Its crafting takes more than one hundred steps.
Barnos Jacket α+|881|318|Alpha|268|Regular|Chest|116|16|0|0|0|8|9000|1|1|1|0|-2|2|2|2|0|0: --------|0|0: --------|0|17: Heat Guard|1|8: Iron Skin|2|0: --------|0|Unisex|318|False|Chest armor of carefully tanned Barnos hide that won't degrade, even in the worst conditions.
Barnos Jacket β+|882|319|Beta_or_Gamma|269|Regular|Chest|116|16|0|0|0|8|9000|1|1|1|0|-2|2|4|2|0|0: --------|0|0: --------|0|17: Heat Guard|1|8: Iron Skin|1|0: --------|0|Unisex|319|False|Chest armor of carefully tanned Barnos hide that won't degrade, even in the worst conditions.
Cortos Cape α+|883|322|Alpha|272|Regular|Chest|116|103|0|0|0|8|9000|-3|2|2|0|0|2|1|1|0|0: --------|0|0: --------|0|77: Hunger Resistance|2|107: Jump Master|1|0: --------|0|Unisex|322|False|A Cortos cape carefully crafted for warmth without compromising on defense.
Cortos Cape β+|884|323|Beta_or_Gamma|273|Regular|Chest|116|103|0|0|0|8|9000|-3|2|2|0|0|1|4|0|0|0: --------|0|0: --------|0|77: Hunger Resistance|1|107: Jump Master|1|0: --------|0|Unisex|323|False|A Cortos cape carefully crafted for warmth without compromising on defense.
Jagras Mail α+|885|324|Alpha|274|Regular|Chest|116|8|1|0|0|8|9000|-2|2|-1|-1|1|1|3|0|0|0: --------|0|0: --------|0|79: Evade Extender|1|19: Attack Boost|2|0: --------|0|Unisex|324|False|This Great Jagras armor is more supple than it appears, granting great freedom of movement.
Jagras Mail β+|886|325|Beta_or_Gamma|275|Regular|Chest|116|8|1|0|0|8|9000|-2|2|-1|-1|1|1|4|0|0|0: --------|0|0: --------|0|79: Evade Extender|1|19: Attack Boost|1|0: --------|0|Unisex|325|False|This Great Jagras armor is more supple than it appears, granting great freedom of movement.
Tzitzi Mail α+|887|326|Alpha|276|Regular|Chest|116|23|1|0|0|8|9000|0|0|-2|-3|0|2|1|1|0|0: --------|0|0: --------|0|74: Constitution|2|31: Water Attack|2|0: --------|0|Unisex|326|False|Using the sharpest of blues, this exquisite chest armor is made to resemble a Tzitzi-Ya-Ku.
Tzitzi Mail β+|888|327|Beta_or_Gamma|277|Regular|Chest|116|23|1|0|0|8|9000|0|0|-2|-3|0|2|4|1|0|0: --------|0|0: --------|0|74: Constitution|1|31: Water Attack|1|0: --------|0|Unisex|327|False|Using the sharpest of blues, this exquisite chest armor is made to resemble a Tzitzi-Ya-Ku.
Girros Mail α+|889|328|Alpha|278|Regular|Chest|116|22|1|0|0|8|9000|0|-3|0|2|1|1|2|0|0|0: --------|0|0: --------|0|2: Paralysis Resistance|2|47: Free Elem/Ammo Up|1|0: --------|0|Unisex|328|False|The design concept for this Great Girros armor is "to bring a painless death to one's prey."
Girros Mail β+|890|329|Beta_or_Gamma|279|Regular|Chest|116|22|1|0|0|8|9000|0|-3|0|2|1|2|4|2|0|0: --------|0|0: --------|0|2: Paralysis Resistance|2|0: --------|0|0: --------|0|Unisex|329|False|The design concept for this Great Girros armor is "to bring a painless death to one's prey."
Dodogama Mail α+|891|330|Alpha|280|Regular|Chest|120|39|1|0|0|8|9000|2|0|0|-3|2|1|2|0|0|0: --------|0|0: --------|0|38: Blast Attack|2|71: Artillery|1|0: --------|0|Unisex|330|False|Creating this Dodogama armor required rethinking the very design of the forge itself.
Dodogama Mail β+|892|331|Beta_or_Gamma|281|Regular|Chest|120|39|1|0|0|8|9000|2|0|0|-3|2|1|4|0|0|0: --------|0|0: --------|0|38: Blast Attack|2|0: --------|0|0: --------|0|Unisex|331|False|Creating this Dodogama armor required rethinking the very design of the forge itself.
Kulu Mail α+|893|332|Alpha|282|Regular|Chest|116|9|1|0|0|8|9000|0|-3|1|0|0|1|2|0|0|0: --------|0|0: --------|0|76: Stamina Surge|1|48: Critical Eye|2|0: --------|0|Unisex|332|False|This armor makes abundant use of Kulu-Ya-Ku feathers, resulting in a more extravagant product.
Kulu Mail β+|894|333|Beta_or_Gamma|283|Regular|Chest|116|9|1|0|0|8|9000|0|-3|1|0|0|1|4|0|0|0: --------|0|0: --------|0|76: Stamina Surge|1|48: Critical Eye|1|0: --------|0|Unisex|333|False|This armor makes abundant use of Kulu-Ya-Ku feathers, resulting in a more extravagant product.
Pukei Mail α+|895|334|Alpha|284|Regular|Chest|118|10|1|0|0|8|9000|0|3|0|-3|1|1|2|0|0|0: --------|0|0: --------|0|83: Item Prolonger|2|63: Peak Performance|1|0: --------|0|Unisex|334|False|Pukei-Pukei armor with improved design and durability. Requires the sense of a true craftsman.
Pukei Mail β+|896|335|Beta_or_Gamma|285|Regular|Chest|118|10|1|0|0|8|9000|0|3|0|-3|1|1|4|0|0|0: --------|0|0: --------|0|83: Item Prolonger|1|63: Peak Performance|1|0: --------|0|Unisex|335|False|Pukei-Pukei armor with improved design and durability. Requires the sense of a true craftsman.
Barroth Mail α+|897|338|Alpha|286|Regular|Chest|118|12|1|0|0|8|9000|-3|-1|-1|3|0|2|1|1|0|0: --------|0|0: --------|0|58: Stamina Thief|2|62: Agitator|1|0: --------|0|Unisex|336|False|Chest armor made from Barroth parts. So tough it takes months to fashion into shape.
Barroth Mail β+|898|339|Beta_or_Gamma|287|Regular|Chest|118|12|1|0|0|8|9000|-3|-1|-1|3|0|2|4|1|0|0: --------|0|0: --------|0|58: Stamina Thief|2|0: --------|0|0: --------|0|Unisex|337|False|Chest armor made from Barroth parts. So tough it takes months to fashion into shape.
Jyura Mail α+|899|340|Alpha|288|Regular|Chest|118|11|1|0|0|8|9000|-1|2|0|-3|0|1|2|0|0|0: --------|0|0: --------|0|61: Latent Power|1|31: Water Attack|2|0: --------|0|Unisex|338|False|This Jyuratodus armor was made by purifying dirt and improving its smoothness and toughness.
Jyura Mail β+|900|341|Beta_or_Gamma|289|Regular|Chest|118|11|1|0|0|8|9000|-1|2|0|-3|0|1|4|0|0|0: --------|0|0: --------|0|61: Latent Power|1|31: Water Attack|1|0: --------|0|Unisex|339|False|This Jyuratodus armor was made by purifying dirt and improving its smoothness and toughness.
Beo Mail α+|901|342|Alpha|290|Regular|Chest|118|110|0|0|0|8|9000|-3|0|3|-2|2|1|3|0|0|0: --------|0|0: --------|0|76: Stamina Surge|1|32: Ice Attack|2|0: --------|0|Unisex|340|False|Golden fins adorn shell hard as cold, black steel in this exquisite Beotodus breastplate.
Beo Mail β+|902|343|Beta_or_Gamma|291|Regular|Chest|118|110|0|0|0|8|9000|-3|0|3|-2|2|2|4|2|0|0: --------|0|0: --------|0|76: Stamina Surge|1|0: --------|0|0: --------|0|Unisex|341|False|Golden fins adorn shell hard as cold, black steel in this exquisite Beotodus breastplate.
Kadachi Mail α+|903|344|Alpha|292|Regular|Chest|120|13|1|0|0|8|9000|0|-3|0|3|0|2|2|1|0|0: --------|0|0: --------|0|107: Jump Master|1|74: Constitution|1|0: --------|0|Unisex|342|False|This Tobi-Kadachi armor is highly popular among hunters for its exquisite silky-smooth fur.
Kadachi Mail β+|904|345|Beta_or_Gamma|293|Regular|Chest|120|13|1|0|0|8|9000|0|-3|0|3|0|2|4|2|0|0: --------|0|0: --------|0|107: Jump Master|1|0: --------|0|0: --------|0|Unisex|343|False|This Tobi-Kadachi armor is highly popular among hunters for its exquisite silky-smooth fur.
High Metal Mail α+|905|348|Alpha|294|Regular|Chest|128|25|0|0|0|8|12000|0|-1|3|-2|0|1|2|0|0|0: --------|0|0: --------|0|11: Earplugs|2|32: Ice Attack|1|0: --------|0|Unisex|344|False|Armor made from a generous portion of ore. Don't worry, it breathes surprisingly well.
High Metal Mail β+|906|349|Beta_or_Gamma|295|Regular|Chest|128|25|0|0|0|8|12000|0|-1|3|-2|0|2|4|1|0|0: --------|0|0: --------|0|11: Earplugs|1|32: Ice Attack|1|0: --------|0|Unisex|345|False|Armor made from a generous portion of ore. Don't worry, it breathes surprisingly well.
Banbaro Mail α+|907|350|Alpha|296|Regular|Chest|130|84|0|0|0|8|12000|-2|2|3|-1|-3|1|3|0|0|0: --------|0|0: --------|0|85: Speed Eating|1|185: Offensive Guard|1|0: --------|0|Unisex|346|False|Wearers of this Banbaro armor find peace of mind under layers of carapace and white fur.
Banbaro Mail β+|908|351|Beta_or_Gamma|297|Regular|Chest|130|84|10|0|0|8|12000|-2|2|3|-1|-3|2|4|1|0|0: --------|0|0: --------|0|85: Speed Eating|1|0: --------|0|0: --------|0|Unisex|347|False|Wearers of this Banbaro armor find peace of mind under layers of carapace and white fur.
Anja Mail α+|909|352|Alpha|298|Regular|Chest|132|20|1|0|0|8|12000|3|-3|-1|-1|0|2|1|1|0|182: Anjanath Dominance|1|0: --------|0|73: Marathon Runner|2|70: Special Ammo Boost|1|0: --------|0|Unisex|348|False|Modeled after a brave tribe's hunting garb, the Anja armor's design is a symbol of bravery.
Anja Mail β+|910|353|Beta_or_Gamma|299|Regular|Chest|132|20|11|0|0|8|12000|3|-3|-1|-1|0|2|4|1|0|182: Anjanath Dominance|1|0: --------|0|73: Marathon Runner|1|70: Special Ammo Boost|1|0: --------|0|Unisex|349|False|Modeled after a brave tribe's hunting garb, the Anja armor's design is a symbol of bravery.
Rathian Mail α+|911|356|Alpha|300|Regular|Chest|130|21|1|0|0|8|12000|2|0|0|-2|-3|2|2|2|0|183: Rathian Essence|1|0: --------|0|99: Botanist|2|22: Recovery Up|1|0: --------|0|Unisex|350|False|Chest armor made from Rathian parts. Grants hunters the power of fire in all forms.
Rathian Mail β+|912|357|Beta_or_Gamma|301|Regular|Chest|130|21|11|0|0|8|12000|2|0|0|-2|-3|2|4|2|0|183: Rathian Essence|1|0: --------|0|99: Botanist|1|22: Recovery Up|1|0: --------|0|Unisex|351|False|Chest armor made from Rathian parts. Grants hunters the power of fire in all forms.
Rath Heart Mail α+|913|358|Alpha|302|Regular|Chest|132|21|101|0|0|8|12000|3|0|0|-3|-4|1|2|0|0|183: Rathian Essence|1|0: --------|0|120: Tool Specialist|2|54: Handicraft|1|0: --------|0|Unisex|352|False|Chest armor made from Pink Rathian parts. Grants hunters the power of fire in all forms.
Rath Heart Mail β+|914|359|Beta_or_Gamma|303|Regular|Chest|132|21|111|0|0|8|12000|3|0|0|-3|-4|3|4|1|1|183: Rathian Essence|1|0: --------|0|120: Tool Specialist|2|0: --------|0|0: --------|0|Unisex|353|False|Chest armor made from Pink Rathian parts. Grants hunters the power of fire in all forms.
Lumu Mail α+|915|360|Alpha|304|Regular|Chest|130|24|1|0|0|8|12000|-3|2|1|0|0|2|3|1|0|0: --------|0|0: --------|0|59: Master Mounter|1|71: Artillery|1|0: --------|0|Unisex|354|False|This Paolumu armor offers a perfect, bespoke fit to any body type. It's flexible and smooth as silk.
Lumu Mail β+|916|361|Beta_or_Gamma|305|Regular|Chest|130|24|1|0|0|8|12000|-3|2|1|0|0|2|4|1|0|0: --------|0|0: --------|0|59: Master Mounter|1|0: --------|0|0: --------|0|Unisex|355|False|This Paolumu armor offers a perfect, bespoke fit to any body type. It's flexible and smooth as silk.
Lumu Phantasm Mail α+|917|362|Alpha|306|Regular|Chest|132|24|101|0|0|8|12000|-3|-3|1|2|1|1|2|0|0|0: --------|0|0: --------|0|82: Wide-Range|2|101: Maximum Might|1|0: --------|0|Unisex|356|False|The iridescent coating upon this Nightshade Paolumu garment lends it a permanently dewy look.
Lumu Phantasm Mail β+|918|363|Beta_or_Gamma|307|Regular|Chest|132|24|101|0|0|8|12000|-3|-3|1|2|1|2|4|1|0|0: --------|0|0: --------|0|82: Wide-Range|2|0: --------|0|0: --------|0|Unisex|357|False|The iridescent coating upon this Nightshade Paolumu garment lends it a permanently dewy look.
Pukei Lagoon Mail α+|919|336|Alpha|308|Regular|Chest|132|10|101|0|0|8|12000|0|3|-3|-2|0|1|2|0|0|0: --------|0|0: --------|0|53: Power Prolonger|1|55: Critical Draw|1|0: --------|0|Unisex|358|False|The Coral Pukei-Pukei scales of this crimson coat offer hunters extremely adaptable protection.
Pukei Lagoon Mail β+|920|337|Beta_or_Gamma|309|Regular|Chest|132|10|101|0|0|8|12000|0|3|-3|-2|0|2|4|1|0|0: --------|0|0: --------|0|53: Power Prolonger|1|0: --------|0|0: --------|0|Unisex|359|False|The Coral Pukei-Pukei scales of this crimson coat offer hunters extremely adaptable protection.
Viper Kadachi Mail α+|921|346|Alpha|310|Regular|Chest|132|13|101|0|0|8|12000|1|3|-2|-3|1|2|1|1|0|0: --------|0|0: --------|0|81: Quick Sheath|1|79: Evade Extender|1|0: --------|0|Unisex|360|False|Thick layers of Viper Tobi- Kadachi hide make this coat nigh impenetrable.
Viper Kadachi Mail β+|922|347|Beta_or_Gamma|311|Regular|Chest|132|13|101|0|0|8|12000|1|3|-2|-3|1|2|4|1|0|0: --------|0|0: --------|0|81: Quick Sheath|1|0: --------|0|0: --------|0|Unisex|361|False|Thick layers of Viper Tobi- Kadachi hide make this coat nigh impenetrable.
Baan Mail α+|923|364|Alpha|312|Regular|Chest|134|28|1|0|0|8|12000|0|2|-1|0|-2|1|3|0|0|0: --------|0|0: --------|0|37: Sleep Attack|1|7: Bleeding Resistance|1|0: --------|0|Unisex|362|False|A mix of dense plating and bone grant this Radobaan armor almost enough defense to deflect bullets.
Baan Mail β+|924|365|Beta_or_Gamma|313|Regular|Chest|134|28|1|0|0|8|12000|0|2|-1|0|-2|1|4|0|0|0: --------|0|0: --------|0|37: Sleep Attack|1|0: --------|0|0: --------|0|Unisex|363|False|A mix of dense plating and bone grant this Radobaan armor almost enough defense to deflect bullets.
Leather Layered Chest|925|1040|Alpha|314|Layered|Chest|0|1|0|0|0|4|500|0|0|0|0|0|0|0|0|0|0: --------|0|0: --------|0|0: --------|0|0: --------|0|0: --------|0|Unisex|364|False|Unavailable
Chain Layered Chest|926|1041|Alpha|315|Layered|Chest|0|14|0|0|0|4|500|0|0|0|0|0|0|0|0|0|0: --------|0|0: --------|0|0: --------|0|0: --------|0|0: --------|0|Unisex|365|False|Unavailable
Hunter αLayered Chest|927|1042|Alpha|316|Layered|Chest|0|2|0|0|0|4|500|0|0|0|0|0|0|0|0|0|0: --------|0|0: --------|0|0: --------|0|0: --------|0|0: --------|0|Unisex|366|False|Unavailable
Hunter βLayered Chest|928|1043|Beta_or_Gamma|317|Layered|Chest|0|2|10|0|0|4|500|0|0|0|0|0|0|0|0|0|0: --------|0|0: --------|0|0: --------|0|0: --------|0|0: --------|0|Unisex|367|False|Unavailable
Bone Layered Chest|929|1044|Alpha|318|Layered|Chest|0|3|0|0|0|4|500|0|0|0|0|0|0|0|0|0|0: --------|0|0: --------|0|0: --------|0|0: --------|0|0: --------|0|Unisex|368|False|Unavailable
Alloy Layered Chest|930|1045|Alpha|319|Layered|Chest|0|4|0|0|0|4|500|0|0|0|0|0|0|0|0|0|0: --------|0|0: --------|0|0: --------|0|0: --------|0|0: --------|0|Unisex|369|False|Unavailable
Vespoid Layered Chest|931|1046|Alpha|320|Layered|Chest|0|7|0|0|0|4|500|0|0|0|0|0|0|0|0|0|0: --------|0|0: --------|0|0: --------|0|0: --------|0|0: --------|0|Unisex|370|False|Unavailable
Hornetaur Layered Chest|932|1047|Alpha|321|Layered|Chest|0|17|0|0|0|4|500|0|0|0|0|0|0|0|0|0|0: --------|0|0: --------|0|0: --------|0|0: --------|0|0: --------|0|Unisex|371|False|Unavailable
Ingot Mail α+|933|370|Alpha|328|Regular|Chest|136|31|0|0|0|9|15000|-2|0|-1|3|0|1|3|0|0|0: --------|0|0: --------|0|27: Thunder Resistance|2|47: Free Elem/Ammo Up|1|0: --------|0|Unisex|378|False|Armor crafted from brilliant gold ore. Its color and design are both highly pleasing.
Ingot Mail β+|934|371|Beta_or_Gamma|329|Regular|Chest|136|31|0|0|0|9|15000|-2|0|-1|3|0|1|4|0|0|0: --------|0|0: --------|0|27: Thunder Resistance|1|47: Free Elem/Ammo Up|1|0: --------|0|Unisex|379|False|Armor crafted from brilliant gold ore. Its color and design are both highly pleasing.
Barioth Mail α+|935|372|Alpha|330|Regular|Chest|138|89|0|0|0|9|15000|-3|2|3|-2|0|1|3|0|0|188: Barioth Hidden Art|1|0: --------|0|53: Power Prolonger|1|74: Constitution|1|0: --------|0|Unisex|380|False|Chest armor made from Barioth parts. The dense armor provides outstanding protection.
Barioth Mail β+|936|373|Beta_or_Gamma|331|Regular|Chest|138|89|10|0|0|9|15000|-3|2|3|-2|0|2|4|1|0|188: Barioth Hidden Art|1|0: --------|0|53: Power Prolonger|1|0: --------|0|0: --------|0|Unisex|381|False|Chest armor made from Barioth parts. The dense armor provides outstanding protection.
Rathalos Mail α+|937|374|Alpha|332|Regular|Chest|140|33|1|0|0|9|15000|3|1|1|-2|-3|2|1|1|0|189: Rathalos Essence|1|0: --------|0|50: Weakness Exploit|2|30: Fire Attack|1|0: --------|0|Unisex|382|False|Chest armor made from Rathalos cortex. It laughs in the face of fire and dragon attacks.
Rathalos Mail β+|938|375|Beta_or_Gamma|333|Regular|Chest|140|33|11|0|0|9|15000|3|1|1|-2|-3|1|4|0|0|189: Rathalos Essence|1|0: --------|0|50: Weakness Exploit|2|0: --------|0|0: --------|0|Unisex|383|False|Chest armor made from Rathalos cortex. It laughs in the face of fire and dragon attacks.
Diablos Mail α+|939|378|Alpha|334|Regular|Chest|140|34|1|0|0|9|15000|3|-2|-3|0|2|1|2|0|0|190: Diablos Ambition|1|0: --------|0|57: Slugger|2|64: Heroics|2|0: --------|0|Unisex|384|False|Chest armor made from Diablos shell. The power within can reduce almost anything to dust.
Diablos Mail β+|940|379|Beta_or_Gamma|335|Regular|Chest|140|34|11|0|0|9|15000|3|-2|-3|0|2|2|4|1|0|190: Diablos Ambition|1|0: --------|0|57: Slugger|2|64: Heroics|1|0: --------|0|Unisex|385|False|Chest armor made from Diablos shell. The power within can reduce almost anything to dust.
Legiana Mail α+|941|382|Alpha|336|Regular|Chest|140|27|1|0|0|9|15000|-1|2|3|-3|0|1|1|0|0|191: Legiana Ambition|1|0: --------|0|78: Evade Window|2|97: Divine Blessing|2|0: --------|0|Unisex|386|False|Armor worn by proven masters of the freezing sky. Made of Legiana parts, it emits a solemn air.
Legiana Mail β+|942|383|Beta_or_Gamma|337|Regular|Chest|140|27|11|0|0|9|15000|-1|2|3|-3|0|1|4|0|0|191: Legiana Ambition|1|0: --------|0|78: Evade Window|2|97: Divine Blessing|1|0: --------|0|Unisex|387|False|Armor worn by proven masters of the freezing sky. Made of Legiana parts, it emits a solemn air.
Odogaron Mail α+|943|386|Alpha|338|Regular|Chest|140|29|1|0|0|9|15000|2|2|-3|-2|0|1|3|0|0|192: Odogaron Essence|1|0: --------|0|86: Speed Sharpening|2|7: Bleeding Resistance|1|0: --------|0|Unisex|388|False|This Odogaron armor carries the stench of death. Sorrow pulses through its seams.
Odogaron Mail β+|944|387|Beta_or_Gamma|339|Regular|Chest|140|29|11|0|0|9|15000|2|2|-3|-2|0|2|4|1|0|192: Odogaron Essence|1|0: --------|0|86: Speed Sharpening|2|0: --------|0|0: --------|0|Unisex|389|False|This Odogaron armor carries the stench of death. Sorrow pulses through its seams.
Lavasioth Mail α+|945|390|Alpha|340|Regular|Chest|140|40|1|0|0|9|15000|3|-3|-2|1|2|2|1|1|0|0: --------|0|0: --------|0|30: Fire Attack|3|17: Heat Guard|1|0: --------|0|Unisex|390|False|This Lavasioth armor underwent a treatment process ten times in order to craft. Truly a work of art.
Lavasioth Mail β+|946|391|Beta_or_Gamma|341|Regular|Chest|140|40|1|0|0|9|15000|3|-3|-2|1|2|2|4|1|0|0: --------|0|0: --------|0|30: Fire Attack|2|17: Heat Guard|1|0: --------|0|Unisex|391|False|This Lavasioth armor underwent a treatment process ten times in order to craft. Truly a work of art.
Uragaan Mail α+|947|392|Alpha|342|Regular|Chest|144|41|1|0|0|9|15000|4|-3|-2|1|-2|1|3|0|0|193: Uragaan Ambition|1|0: --------|0|56: Partbreaker|2|6: Blast Resistance|1|0: --------|0|Unisex|392|False|Chest armor made from an Uragaan's rocky shell. It can stand up to even fierce electrical storms.
Uragaan Mail β+|948|393|Beta_or_Gamma|343|Regular|Chest|144|41|1|0|0|9|15000|4|-3|-2|1|-2|1|4|0|0|193: Uragaan Ambition|1|0: --------|0|56: Partbreaker|2|0: --------|0|0: --------|0|Unisex|393|False|Chest armor made from an Uragaan's rocky shell. It can stand up to even fierce electrical storms.
Nargacuga Mail α+|949|394|Alpha|344|Regular|Chest|140|80|0|0|0|9|15000|-2|2|0|-3|0|1|2|0|0|171: Nargacuga Essence|1|0: --------|0|78: Evade Window|2|106: Speed Crawler|1|0: --------|0|Unisex|394|False|Chest armor made of Nargacuga parts. Its glossy scales possess a dangerously tempting beauty.
Nargacuga Mail β+|950|395|Beta_or_Gamma|345|Regular|Chest|140|80|10|0|0|9|15000|-2|2|0|-3|0|1|4|0|0|171: Nargacuga Essence|1|0: --------|0|78: Evade Window|2|0: --------|0|0: --------|0|Unisex|395|False|Chest armor made of Nargacuga parts. Its glossy scales possess a dangerously tempting beauty.
Glavenus Mail α+|951|396|Alpha|346|Regular|Chest|142|81|0|0|0|9|15000|3|-3|-1|1|-1|1|1|0|0|173: Glavenus Essence|1|0: --------|0|53: Power Prolonger|2|101: Maximum Might|1|0: --------|0|Unisex|396|False|Wrapping the body in flames, this Glavenus armor frightens friend and foe alike.
Glavenus Mail β+|952|397|Beta_or_Gamma|347|Regular|Chest|142|81|10|0|0|9|15000|3|-3|-1|1|-1|1|4|0|0|173: Glavenus Essence|1|0: --------|0|53: Power Prolonger|1|101: Maximum Might|1|0: --------|0|Unisex|397|False|Wrapping the body in flames, this Glavenus armor frightens friend and foe alike.
Brachydios Mail α+|953|400|Alpha|348|Regular|Chest|142|82|0|0|0|9|15000|3|-2|-3|1|1|1|1|0|0|172: Brachydios Essence|1|0: --------|0|58: Stamina Thief|2|62: Agitator|1|0: --------|0|Unisex|398|False|Chest armor made of Brachydios parts. It contains a living spark that burns all in its path.
Brachydios Mail β+|954|401|Beta_or_Gamma|349|Regular|Chest|142|82|10|0|0|9|15000|3|-2|-3|1|1|1|4|0|0|172: Brachydios Essence|1|0: --------|0|58: Stamina Thief|1|62: Agitator|1|0: --------|0|Unisex|399|False|Chest armor made of Brachydios parts. It contains a living spark that burns all in its path.
